year,lab,harvest,scl_h,food_mt,total_landings,total_food
1959,Mariculture: animals,726521,726521,207396.21479144806,30446281,19099264.675432585
1959,Mariculture: plants,292521,292521,29252.100000000002,30446281,19099264.675432585
1959,Wild fisheries,29427239,24130335.98,18862616.360641137,30446281,19099264.675432585
1960,Mariculture: animals,798572,798572,222165.5698983407,32958237,20691955.31888103
1960,Mariculture: plants,461809,461809,46180.9,32958237,20691955.31888103
1960,Wild fisheries,31697856,25992241.92,20423608.84898269,32958237,20691955.31888103
1961,Mariculture: animals,783380,783380,226660.87945657913,36484189,23095431.406855397
1961,Mariculture: plants,511570,511570,51157,36484189,23095431.406855397
1961,Wild fisheries,35189239,28855175.98,22817613.527398817,36484189,23095431.406855397
1962,Mariculture: animals,867852,867852,239522.2445818494,39786860,25207801.12455381
1962,Mariculture: plants,523694,523694,52369.4,39786860,25207801.12455381
1962,Wild fisheries,38395314,31484157.48,24915909.47997196,39786860,25207801.12455381
1963,Mariculture: animals,977918,977918,256951.616286318,41116326,25985462.127227467
1963,Mariculture: plants,591491,591491,59149.1,41116326,25985462.127227467
1963,Wild fisheries,39546917,32428471.94,25669361.41094115,41116326,25985462.127227467
1964,Mariculture: animals,985388,985388,268583.0915104553,45504012,29164602.138002582
1964,Mariculture: plants,696142,696142,69614.2,45504012,29164602.138002582
1964,Wild fisheries,43822482,35934435.24,28826404.846492127,45504012,29164602.138002582
1965,Mariculture: animals,997877,997877,271693.6768334596,46389711,29599724.343955755
1965,Mariculture: plants,724400,724400,72440,46389711,29599724.343955755
1965,Wild fisheries,44667434,36627295.88,29255590.667122297,46389711,29599724.343955755
1966,Mariculture: animals,1028926,1028926,285089.62000092847,50456434,32297156.254494067
1966,Mariculture: plants,883893,883893,88389.3,50456434,32297156.254494067
1966,Wild fisheries,48543615,39805764.300000004,31923677.334493138,50456434,32297156.254494067
1967,Mariculture: animals,1070309,1070309,293549.0021262217,53864987,34501581.66091707
1967,Mariculture: plants,947363,947363,94736.3,53864987,34501581.66091707
1967,Wild fisheries,51847315,42514798.300000004,34113296.35879085,53864987,34501581.66091707
1968,Mariculture: animals,1183764,1183764,333414.8038741915,57129525,36574592.50908324
1968,Mariculture: plants,986295,986295,98629.5,57129525,36574592.50908324
1968,Wild fisheries,54959466,45066762.120000005,36142548.20520905,57129525,36574592.50908324
1969,Mariculture: animals,1178583,1178583,331859.6926131119,55753092,35653032.31454603
1969,Mariculture: plants,1088026,1088026,108802.6,55753092,35653032.31454603
1969,Wild fisheries,53486483,43858916.06,35212370.021932915,55753092,35653032.31454603
1970,Mariculture: animals,1293918,1293918,365676.1250659491,61676773,39639454.71956939
1970,Mariculture: plants,1145480,1145480,114548,61676773,39639454.71956939
1970,Wild fisheries,59237375,48574647.5,39159230.59450344,61676773,39639454.71956939
1971,Mariculture: animals,1385722,1385722,398510.9803128871,61903186,39579735.798720464
1971,Mariculture: plants,1427495,1427495,142749.5,61903186,39579735.798720464
1971,Wild fisheries,59089969,48453774.58,39038475.31840758,61903186,39579735.798720464
1972,Mariculture: animals,1521743,1521743,430405.43333547603,57909976,36511286.43221215
1972,Mariculture: plants,1605950,1605950,160595.00000000003,57909976,36511286.43221215
1972,Wild fisheries,54782283,44921472.06,35920285.998876676,57909976,36511286.43221215
1973,Mariculture: animals,1532241,1532241,441583.1789478627,58375696,36781297.697388805
1973,Mariculture: plants,1659445,1659445,165944.5,58375696,36781297.697388805
1973,Wild fisheries,55184010,45250888.2,36173770.01844094,58375696,36781297.697388805
1974,Mariculture: animals,1593415,1593415,472899.6967756451,62003110,39111865.112205885
1974,Mariculture: plants,1938294,1938294,193829.40000000002,62003110,39111865.112205885
1974,Wild fisheries,58471401,47946548.82,38445136.01543024,62003110,39111865.112205885
1975,Mariculture: animals,1816246,1816246,515308.4491227195,61609490,38655655.70203453
1975,Mariculture: plants,1883816,1883816,188381.6,61609490,38655655.70203453
1975,Wild fisheries,57909428,47485730.96,37951965.65291181,61609490,38655655.70203453
1976,Mariculture: animals,1893263,1893263,539857.7490343091,65296746,41050356.3404298
1976,Mariculture: plants,1943525,1943525,194352.5,65296746,41050356.3404298
1976,Wild fisheries,61459958,50397165.56,40316146.09139549,65296746,41050356.3404298
1977,Mariculture: animals,2184827,2184827,604563.4264655724,64712154,39924088.87269197
1977,Mariculture: plants,2550822,2550822,255082.2,64712154,39924088.87269197
1977,Wild fisheries,59976505,49180734.1,39064443.24622639,64712154,39924088.87269197
1978,Mariculture: animals,2199052,2199052,627019.3716298324,67113814,41538665.34627295
1978,Mariculture: plants,2831260,2831260,283126,67113814,41538665.34627295
1978,Wild fisheries,62083502,50908471.64,40628519.97464312,67113814,41538665.34627295
1979,Mariculture: animals,2196904,2196904,666176.222187451,67330686,41696968.37619645
1979,Mariculture: plants,2795831,2795831,279583.10000000003,67330686,41696968.37619645
1979,Wild fisheries,62337951,51117119.82,40751209.054009,67330686,41696968.37619645
1980,Mariculture: animals,2346661,2346661,713379.7579019527,68092203,41981890.272112854
1980,Mariculture: plants,3086167,3086167,308616.7,68092203,41981890.272112854
1980,Wild fisheries,62659375,51380687.50000001,40959893.8142109,68092203,41981890.272112854
1981,Mariculture: animals,2556752,2556752,814036.0161586321,70054528,43394862.606102265
1981,Mariculture: plants,2961689,2961689,296168.9,70054528,43394862.606102265
1981,Wild fisheries,64536087,52919591.34,42284657.689943634,70054528,43394862.606102265
1982,Mariculture: animals,2647347,2647347,855280.9288061355,71836464,44383796.21946604
1982,Mariculture: plants,2926985,2926985,292698.5,71836464,44383796.21946604
1982,Wild fisheries,66262132,54334948.24,43235816.790659904,71836464,44383796.21946604
1983,Mariculture: animals,2849125,2849125,943079.8565535153,72253006,44227918.0633868
1983,Mariculture: plants,3272728,3272728,327272.8,72253006,44227918.0633868
1983,Wild fisheries,66131153,54227545.46,42957565.40683328,72253006,44227918.0633868
1984,Mariculture: animals,2962031,2962031,924701.5168966581,78454787,48042063.01013206
1984,Mariculture: plants,3687229,3687229,368722.9,78454787,48042063.01013206
1984,Wild fisheries,71805527,58880532.14,46748638.5932354,78454787,48042063.01013206
1985,Mariculture: animals,3300472,3300472,1006752.2594761081,80546815,49147641.26919667
1985,Mariculture: plants,3778184,3778184,377818.4,80546815,49147641.26919667
1985,Wild fisheries,73468159,60243890.38,47763070.60972056,80546815,49147641.26919667
1986,Mariculture: animals,3695947,3695947,1135213.031892122,86144986,52836710.89214633
1986,Mariculture: plants,3864118,3864118,386411.8,86144986,52836710.89214633
