scenario,sector,demand,price,meat_yr,total_prod,rel_prod
Scenario 2,Wild fisheries,current,1393.9594288226945,58166167.791583166,70.38677182843088,0.8263792511093465
Scenario 2,Wild fisheries,2050,8778.33428002632,62073554.09171587,73.89767372771234,0.8399933443160293
Scenario 2,Wild fisheries,extreme,0,0,22.83466082273032,0
Scenario 3b,Wild fisheries,current,1393.9594288226945,58166167.791583166,70.5948715833898,0.82394324809947
Scenario 3b,Wild fisheries,2050,8778.33428002632,62073554.09171587,92.31910267699018,0.6723803881510995
Scenario 3b,Wild fisheries,extreme,0,0,58.90664789148976,0
Scenario 3c,Wild fisheries,current,1393.9594288226945,58166167.791583166,70.86991742709162,0.8207455279092485
Scenario 3c,Wild fisheries,2050,8778.33428002632,62073554.09171587,92.99763933255598,0.6674745137319371
Scenario 3c,Wild fisheries,extreme,0,0,60.814410009069576,0
Scenario 2,Bivalve mariculture,current,778.3946696184252,3779554.9269799055,70.38677182843088,0.053696949423858276
Scenario 2,Bivalve mariculture,2050,857.674249458819,11824119.63599647,73.89767372771234,0.16000665568397063
Scenario 2,Bivalve mariculture,extreme,940.4452957836902,22834660.82273032,22.83466082273032,1
Scenario 3b,Bivalve mariculture,current,778.3946696184252,3779554.9269799055,70.5948715833898,0.053538661409920224
Scenario 3b,Bivalve mariculture,2050,857.674249458819,11824119.63599647,92.31910267699018,0.12807879727088747
Scenario 3b,Bivalve mariculture,extreme,940.4452957836902,22834660.82273032,58.90664789148976,0.3876414910723386
Scenario 3c,Bivalve mariculture,current,778.3946696184254,3779554.926979905,70.86991742709162,0.05333087809602957
Scenario 3c,Bivalve mariculture,2050,857.6742494587575,11824119.635996792,92.99763933255598,0.12714429872476865
Scenario 3c,Bivalve mariculture,extreme,940.4452957836902,22834660.82273032,60.814410009069576,0.3754810877771381
Scenario 2,Finfish mariculture,current,5287.441277815702,8441049.109867798,70.38677182843088,0.11992379946679496
Scenario 2,Finfish mariculture,2050,0,0,73.89767372771234,0
Scenario 2,Finfish mariculture,extreme,0,0,22.83466082273032,0
Scenario 3b,Finfish mariculture,current,4959.198483683533,8649148.864826728,70.5948715833898,0.12251809049060977
Scenario 3b,Finfish mariculture,2050,5067.577094837313,18421428.949277844,92.31910267699018,0.199540814578013
Scenario 3b,Finfish mariculture,extreme,5357.556958434174,36071987.06875944,58.90664789148976,0.6123585089276614
Scenario 3c,Finfish mariculture,current,4567.025356025867,8924194.708528554,70.86991742709162,0.12592359399472194
Scenario 3c,Finfish mariculture,2050,4607.445230973321,19099965.604843322,92.99763933255598,0.20538118754329432
Scenario 3c,Finfish mariculture,extreme,4678.070122177182,37979749.18633926,60.814410009069576,0.624518912222862
