sector,init_prod,current_d,future_d,extreme_d
unfed mariculture,2.8088333333333333,26.255890682161102,80.00987706001649,98.2722742811176
wild,51.230079763725946,54.1244522873585,59.9664811003639,61.2953120158609
fed mariculture,7.587391304347826,0,0,0
