scenario,sector,demand,price,meat_yr,total_prod,rel_prod,meat_yr_mmt,tot_meat_mmt
Scenario 2,Wild fisheries,current,1057.24997005657,55271033.88523097,68.10665303932998,0.8115364860656602,55.27103388523097,68.10665303932998
Scenario 2,Wild fisheries,2050,3891.665141463662,61860009.66677405,70.77358270187047,0.8740550824925125,61.86000966677405,70.77358270187047
Scenario 2,Wild fisheries,extreme,0,0,17.311985001675687,0,0,17.311985001675687
Scenario 3b,Wild fisheries,current,1057.24997005657,55271033.88523097,69.29572803599874,0.7976109848577965,55.27103388523097,69.29572803599872
Scenario 3b,Wild fisheries,2050,3891.665141463662,61860009.66677405,89.56670608370696,0.6906585311841336,61.86000966677405,89.56670608370696
Scenario 3b,Wild fisheries,extreme,0,0,54.19230039866733,0,0,54.19230039866733
Scenario 3c,Wild fisheries,current,1057.24997005657,55271033.88523097,69.29572803599538,0.7976109848578351,55.27103388523097,69.29572803599537
Scenario 3c,Wild fisheries,2050,3891.665141463662,61860009.66677405,89.56670608368019,0.69065853118434,61.86000966677405,89.56670608368019
Scenario 3c,Wild fisheries,extreme,0,61860010,116.71087609911659,0.5300278094688061,61.86001,116.7108760991166
Scenario 2,Bivalve mariculture,current,778.3946696184254,3779554.926979905,68.10665303932998,0.055494650791271465,3.779554926979905,68.10665303932998
Scenario 2,Bivalve mariculture,2050,832.2089316686901,8913573.035096426,70.77358270187047,0.12594491750748757,8.913573035096425,70.77358270187047
Scenario 2,Bivalve mariculture,extreme,898.9703196665403,17311985.001675688,17.311985001675687,1,17.311985001675687,17.311985001675687
Scenario 3b,Bivalve mariculture,current,778.3946696184254,3779554.926979905,69.29572803599874,0.05454239437410121,3.779554926979905,69.29572803599872
Scenario 3b,Bivalve mariculture,2050,832.2089316686901,8913573.035096426,89.56670608370696,0.09951882150010079,8.913573035096425,89.56670608370696
Scenario 3b,Bivalve mariculture,extreme,898.9703196665403,17311985.001675688,54.19230039866733,0.31945469880996996,17.311985001675687,54.19230039866733
Scenario 3c,Bivalve mariculture,current,778.3946696184254,3779554.926979905,69.29572803599538,0.05454239437410385,3.779554926979905,69.29572803599537
Scenario 3c,Bivalve mariculture,2050,832.2089316686901,8913573.035096426,89.56670608368019,0.09951882150013054,8.913573035096425,89.56670608368019
Scenario 3c,Bivalve mariculture,extreme,898.9703196665403,17311985.001675688,116.71087609911659,0.1483322341524838,17.311985001675687,116.7108760991166
Scenario 2,Finfish mariculture,current,4394.091172619599,9056064.227119112,68.10665303932998,0.1329688631430684,9.056064227119112,68.10665303932998
Scenario 2,Finfish mariculture,2050,0,0,70.77358270187047,0,0,70.77358270187047
Scenario 2,Finfish mariculture,extreme,0,0,17.311985001675687,0,0,17.311985001675687
Scenario 3b,Finfish mariculture,current,3175.947772507895,10245139.223787848,69.29572803599874,0.14784662076810215,10.245139223787849,69.29572803599872
Scenario 3b,Finfish mariculture,2050,3185.4933187617594,18793123.381836485,89.56670608370696,0.2098226473157656,18.793123381836484,89.56670608370696
Scenario 3b,Finfish mariculture,extreme,3348.4668091361555,36880315.39699164,54.19230039866733,0.68054530119003,36.88031539699164,54.19230039866733
Scenario 3c,Finfish mariculture,current,3175.947772510628,10245139.223784497,69.29572803599538,0.14784662076806093,10.245139223784497,69.29572803599537
Scenario 3c,Finfish mariculture,2050,3185.4933187737024,18793123.38180971,89.56670608368019,0.2098226473155294,18.79312338180971,89.56670608368019
Scenario 3c,Finfish mariculture,extreme,3196.08148594655,37538881.097440906,116.71087609911659,0.3216399563787102,37.53888109744091,116.7108760991166
