scen_lab,time,price,tot_meat_year,sector,meat_yr,rel_meat_yr
Scenario A,current,966,80344783.85288925,Capture fisheries,54124452.2873585,0.6736523479415913
Scenario A,current,966,80344783.85288925,Bivalve mariculture,26255890.6821611,0.3267902335792633
Scenario A,2050,1436,126892833.27755743,Capture fisheries,58445698.3746343,0.4605910110525615
Scenario A,2050,1436,126892833.27755743,Bivalve mariculture,68381217.8751718,0.5388895188871621
Scenario A,extreme,3411,182705072.2878826,Capture fisheries,61706793.6602852,0.337739904467763
Scenario A,extreme,3411,182705072.2878826,Bivalve mariculture,112187833.800056,0.6140378720481563
Scenario A,extreme,3411,182705072.2878826,Finfish mariculture,8574435.70652174,0.04693047433850809
Scenario B,current,966,80344783.85289283,Capture fisheries,54124452.2873585,0.6736523479415614
Scenario B,current,966,80344783.85289283,Bivalve mariculture,26255890.6821611,0.32679023357924875
Scenario B,2050,1436,126892833.27755743,Capture fisheries,58445698.3746343,0.4605910110525615
Scenario B,2050,1436,126892833.27755743,Bivalve mariculture,68381217.8751718,0.5388895188871621
Scenario B,extreme,3182,187581466.8111386,Capture fisheries,61683338.8585219,0.3288349318679021
Scenario B,extreme,3182,187581466.8111386,Bivalve mariculture,110222536.514844,0.5875982227275076
Scenario B,extreme,3182,187581466.8111386,Finfish mariculture,15110210.6521739,0.08055279079029279
Scenario C,current,966,80344783.85289375,Capture fisheries,54124452.2873585,0.6736523479415536
Scenario C,current,966,80344783.85289375,Bivalve mariculture,26255890.6821611,0.32679023357924497
Scenario C,2050,1436,126892833.2775574,Capture fisheries,58445698.3746343,0.4605910110525616
Scenario C,2050,1436,126892833.2775574,Bivalve mariculture,68381217.8751718,0.5388895188871622
Scenario C,extreme,3182,187581466.8111386,Capture fisheries,61683338.8585219,0.3288349318679021
Scenario C,extreme,3182,187581466.8111386,Bivalve mariculture,110222536.514844,0.5875982227275076
Scenario C,extreme,3182,187581466.8111386,Finfish mariculture,15110210.6521739,0.08055279079029279
Scenario D,current,905,82351765.14071067,Capture fisheries,64347834.7216838,0.7813777228907677
Scenario D,current,905,82351765.14071067,Bivalve mariculture,17981367.1551095,0.21834829070616235
Scenario D,2050,1317,131137235.62528266,Capture fisheries,70145117.9467356,0.5348985557936524
Scenario D,2050,1317,131137235.62528266,Bivalve mariculture,60940588.8332466,0.46470850588448376
Scenario D,extreme,3156,188170020.18771574,Capture fisheries,75138341.9468188,0.3993109097392978
Scenario D,extreme,3156,188170020.18771574,Bivalve mariculture,109989604.302321,0.584522466398191
Scenario D,extreme,3156,188170020.18771574,Finfish mariculture,2915155.65217391,0.015492136575559656
