ISSCAAP_Group,SpeciesCat,seafood_type,convert_val,convert_mult,description
Miscellaneous coastal fishes,33,fish,1.15,0.8695652173913044,"gutted, head-on"
Miscellaneous marine molluscs,58,molluscs,6,0.16666666666666666,meat without shells
Mussels,54,molluscs,6,0.16666666666666666,meat without shells
Marine fishes not identified,39,fish,1.15,0.8695652173913044,"gutted, head-on"
"Squids, cuttlefishes, octopuses",57,molluscs,6,0.16666666666666666,meat without shells
Oysters,53,molluscs,6,0.16666666666666666,meat without shells
"Shrimps, prawns",45,crustaceans,2.8,0.35714285714285715,"tail meat, peeled"
"Flounders, halibuts, soles",31,fish,1.15,0.8695652173913044,"gutted, head-on"
"Tunas, bonitos, billfishes",36,fish,1.15,0.8695652173913044,"gutted, head-on"
"Salmons, trouts, smelts",23,fish,1.15,0.8695652173913044,"gutted, head-on"
Miscellaneous pelagic fishes,37,fish,1.15,0.8695652173913044,"gutted, head-on"
"Carps, barbels and other cyprinids",11,fish,1.15,0.8695652173913044,"gutted, head-on"
River eels,22,fish,1.15,0.8695652173913044,"gutted, head-on"
"Clams, cockles, arkshells",56,molluscs,6,0.16666666666666666,meat without shells
Miscellaneous freshwater fishes,13,fish,1.15,0.8695652173913044,"gutted, head-on"
Tilapias and other cichlids,12,fish,1.15,0.8695652173913044,"gutted, head-on"
Red seaweeds,92,plant,10,0.1,Aquatic plants
Miscellaneous diadromous fishes,25,fish,1.15,0.8695652173913044,"gutted, head-on"
Miscellaneous marine crustaceans,47,crustaceans,2.8,0.35714285714285715,"tail meat, peeled"
"Crabs, sea-spiders",42,crustaceans,2.8,0.35714285714285715,"tail meat, peeled"
Sea-urchins and other echinoderms,76,echinoderms,3.3166666666666664,0.30150753768844224,Sea-urchins and other echinoderms
"Lobsters, spiny-rock lobsters",43,crustaceans,2.8,0.35714285714285715,"tail meat, peeled"
Miscellaneous aquatic plants,94,plant,10,0.1,Aquatic plants
Brown seaweeds,91,plant,10,0.1,Aquatic plants
"Sturgeons, paddlefishes",21,fish,1.15,0.8695652173913044,"gutted, head-on"
"Abalones, winkles, conchs",52,molluscs,6,0.16666666666666666,meat without shells
Miscellaneous aquatic invertebrates,77,misc_invt,4.6966674177467365,0.21291692833548728,Miscellaneous aquatic invertebrates
"Scallops, pectens",55,molluscs,6,0.16666666666666666,meat without shells
Green seaweeds,93,plant,10,0.1,Aquatic plants
Miscellaneous demersal fishes,34,fish,1.15,0.8695652173913044,"gutted, head-on"
Freshwater crustaceans,41,crustaceans,2.8,0.35714285714285715,"tail meat, peeled"
"Cods, hakes, haddocks",32,fish,1.15,0.8695652173913044,"gutted, head-on"
Shads,24,fish,1.15,0.8695652173913044,"gutted, head-on"
"Sharks, rays, chimaeras",38,fish,1.15,0.8695652173913044,"gutted, head-on"
"King crabs, squat-lobsters",44,crustaceans,2.8,0.35714285714285715,"tail meat, peeled"
"Herrings, sardines, anchovies",35,fish,1.15,0.8695652173913044,"gutted, head-on"
Freshwater molluscs,51,molluscs,6,0.16666666666666666,meat without shells
Horseshoe crabs and other arachnoids,75,horseshoe,NA,0,Horseshoe crabs and other arachnoids
